Establishing 100 WCF channels
4/30/2018 8:42:45 PM count=1204873 tasks=1024
4/30/2018 8:42:46 PM count=1250624 tasks=979
4/30/2018 8:42:47 PM count=1297796 tasks=1024
4/30/2018 8:42:48 PM count=1348383 tasks=922
4/30/2018 8:42:49 PM count=1398956 tasks=1024
4/30/2018 8:42:50 PM count=1449229 tasks=341
4/30/2018 8:42:51 PM count=1495593 tasks=1024
4/30/2018 8:42:52 PM count=1541966 tasks=1024
4/30/2018 8:42:53 PM count=1592446 tasks=1024
4/30/2018 8:42:54 PM count=1642132 tasks=1024
4/30/2018 8:42:55 PM count=1690325 tasks=1024
4/30/2018 8:42:56 PM count=1740239 tasks=1024
4/30/2018 8:42:57 PM count=1789865 tasks=1014
4/30/2018 8:42:58 PM count=1840886 tasks=1024
4/30/2018 8:42:59 PM count=1889405 tasks=1024
4/30/2018 8:43:00 PM count=1937990 tasks=1024
4/30/2018 8:43:01 PM count=1990138 tasks=1024
4/30/2018 8:43:02 PM count=2037494 tasks=409
4/30/2018 8:43:03 PM count=2087743 tasks=874
4/30/2018 8:43:04 PM count=2136851 tasks=1024
4/30/2018 8:43:05 PM count=2183242 tasks=846
4/30/2018 8:43:06 PM count=2232445 tasks=1024
4/30/2018 8:43:07 PM count=2279823 tasks=1024
4/30/2018 8:43:08 PM count=2327796 tasks=812
4/30/2018 8:43:09 PM count=2376872 tasks=758
Waiting for all tasks to be completed...
Duration=00:00:49.2080193 Count=2377899 Rate=48323.4040675968. Min=0.0014 Max=31.4171 Avg=7.12677215512518
Establishing 100 bond/gRPC channels
4/30/2018 8:43:10 PM count=19388 tasks=783
4/30/2018 8:43:11 PM count=43594 tasks=1024
4/30/2018 8:43:12 PM count=66947 tasks=981
4/30/2018 8:43:13 PM count=90520 tasks=1024
4/30/2018 8:43:14 PM count=113570 tasks=1024
4/30/2018 8:43:15 PM count=135083 tasks=983
4/30/2018 8:43:16 PM count=156657 tasks=1024
4/30/2018 8:43:17 PM count=179785 tasks=888
4/30/2018 8:43:18 PM count=202469 tasks=692
4/30/2018 8:43:20 PM count=224192 tasks=1024
4/30/2018 8:43:21 PM count=247007 tasks=481
4/30/2018 8:43:22 PM count=267412 tasks=1023
4/30/2018 8:43:23 PM count=285382 tasks=1024
4/30/2018 8:43:24 PM count=306951 tasks=976
4/30/2018 8:43:25 PM count=329972 tasks=977
4/30/2018 8:43:26 PM count=351550 tasks=1014
4/30/2018 8:43:27 PM count=372523 tasks=1024
4/30/2018 8:43:28 PM count=396456 tasks=1024
4/30/2018 8:43:29 PM count=420181 tasks=1024
4/30/2018 8:43:30 PM count=441504 tasks=1024
